epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7786,1.32249,4.84477,1.43325,0.88573,0.0177,0.02454,0.01566,1.14468,2.88765,1.152,3.87463e-05,3.87463e-05,3.87463e-05
2,43.0166,1.27458,2.69095,1.31876,0.47283,0.11083,0.11124,0.07269,1.18032,2.03012,1.18129,7.73066e-05,7.73066e-05,7.73066e-05
3,61.1534,1.23056,2.06535,1.28128,0.51908,0.26322,0.25929,0.1685,1.20291,1.70142,1.19661,0.000115088,0.000115088,0.000115088
4,79.8489,1.21852,1.73668,1.28824,0.6845,0.29782,0.32394,0.21436,1.18828,1.51134,1.19563,0.000114495,0.000114495,0.000114495
5,97.4726,1.16533,1.51457,1.25185,0.57176,0.34805,0.35131,0.23504,1.21171,1.43674,1.22373,0.000113327,0.000113327,0.000113327
6,116.612,1.12564,1.36036,1.24177,0.65605,0.36607,0.39408,0.2588,1.20761,1.35671,1.21476,0.000112159,0.000112159,0.000112159
7,137.479,1.08933,1.234,1.20075,0.61309,0.38893,0.40453,0.25939,1.23247,1.35077,1.22523,0.000110991,0.000110991,0.000110991
8,156.384,1.08751,1.1631,1.20012,0.64244,0.34822,0.38873,0.25895,1.22115,1.3439,1.23227,0.000109823,0.000109823,0.000109823
9,174.953,1.07212,1.11439,1.19857,0.64768,0.36281,0.39446,0.26002,1.21746,1.32911,1.22558,0.000108654,0.000108654,0.000108654
10,193.254,1.03173,1.05726,1.17326,0.66642,0.36824,0.41812,0.27187,1.23341,1.32682,1.23076,0.000107486,0.000107486,0.000107486
11,212.736,1.04757,1.00951,1.18366,0.63618,0.38991,0.41949,0.27347,1.22179,1.32596,1.22798,0.000106318,0.000106318,0.000106318
12,235.081,1.01204,0.96726,1.16174,0.64057,0.35926,0.42006,0.28033,1.21893,1.29304,1.2269,0.00010515,0.00010515,0.00010515
13,257.466,0.9982,0.96039,1.13913,0.60587,0.38364,0.42444,0.28217,1.2083,1.28345,1.2298,0.000103982,0.000103982,0.000103982
14,279.674,0.99137,0.90346,1.14499,0.62985,0.36425,0.42262,0.28089,1.21609,1.30675,1.2297,0.000102813,0.000102813,0.000102813
15,302.16,0.97939,0.90405,1.13841,0.56515,0.37952,0.42081,0.27942,1.21837,1.31501,1.23407,0.000101645,0.000101645,0.000101645
16,324.231,0.9678,0.87604,1.14106,0.56308,0.38334,0.41877,0.27374,1.23288,1.33133,1.23806,0.000100477,0.000100477,0.000100477
17,346.258,0.96306,0.88952,1.13056,0.63633,0.36308,0.4282,0.2873,1.21467,1.31156,1.23041,9.93088e-05,9.93088e-05,9.93088e-05
18,368.419,0.9491,0.86104,1.13118,0.62152,0.388,0.43865,0.29037,1.22244,1.29621,1.22478,9.81406e-05,9.81406e-05,9.81406e-05
