epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0821,0.41661,0.25715,0.92528,0.79199,0.55084,0.59605,0.44076,1.32101,2.62835,1.87109,0.000326389,0.000326389,0.000326389
2,30.9467,0.49714,0.36458,0.9735,0.4538,0.56876,0.50722,0.40611,1.50553,2.90936,1.96812,0.000653191,0.000653191,0.000653191
3,44.6513,0.59951,0.48769,1.05586,0.78804,0.29938,0.51332,0.3896,1.5705,2.81371,2.01365,0.000973393,0.000973393,0.000973393
4,58.5232,0.61672,0.52786,1.06114,0.57369,0.50617,0.50377,0.3592,1.29283,2.15338,1.70052,0.0009703,0.0009703,0.0009703
5,72.0539,0.62579,0.5131,1.06356,0.47443,0.44303,0.36911,0.25921,1.63497,3.23744,2.07712,0.0009604,0.0009604,0.0009604
6,85.5288,0.61056,0.52377,1.05528,0.77917,0.45055,0.50043,0.36542,1.5377,2.17224,2.07376,0.0009505,0.0009505,0.0009505
7,98.8259,0.60844,0.48897,1.05657,0.79841,0.45659,0.5652,0.44746,1.40091,2.16642,1.8525,0.0009406,0.0009406,0.0009406
8,112.297,0.63322,0.52494,1.07759,0.74129,0.52876,0.51627,0.31018,1.35241,2.90702,1.72774,0.0009307,0.0009307,0.0009307
9,125.981,0.62748,0.55091,1.06935,0.7474,0.43518,0.52616,0.39902,1.39724,2.2332,1.81253,0.0009208,0.0009208,0.0009208
10,139.383,0.59351,0.4686,1.05835,0.69689,0.46491,0.52182,0.41575,1.4511,2.37424,1.83224,0.0009109,0.0009109,0.0009109
11,152.69,0.60445,0.4796,1.05647,0.66406,0.51312,0.54782,0.41242,1.35009,1.99871,1.65,0.000901,0.000901,0.000901
12,166.415,0.60824,0.44102,1.04813,0.77033,0.57035,0.61604,0.48661,1.24289,2.08216,1.51647,0.0008911,0.0008911,0.0008911
13,179.893,0.64101,0.47481,1.08673,0.48285,0.54099,0.61751,0.45038,1.3435,2.10141,1.80423,0.0008812,0.0008812,0.0008812
14,193.366,0.59572,0.43402,1.02833,0.72118,0.59019,0.59302,0.42647,1.45769,2.12143,1.95706,0.0008713,0.0008713,0.0008713
15,206.86,0.61482,0.4295,1.05142,0.56388,0.35639,0.38948,0.26366,1.57927,2.45856,2.07513,0.0008614,0.0008614,0.0008614
16,220.103,0.59434,0.43365,1.04048,0.6587,0.51841,0.4651,0.3587,1.32816,1.8783,1.76596,0.0008515,0.0008515,0.0008515
17,233.315,0.58409,0.4123,1.02566,0.66033,0.46477,0.5228,0.42695,1.40419,2.16533,1.86204,0.0008416,0.0008416,0.0008416
