epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4008,0.59709,1.78353,0.87133,0.74037,0.82412,0.82631,0.61085,0.98193,1.10978,1.00068,0.000406977,0.000406977,0.000406977
2,23.8563,0.53634,0.84519,0.83468,0.63268,0.64598,0.61698,0.45817,0.9495,1.26844,1.00639,0.000810053,0.000810053,0.000810053
3,34.9587,0.54385,0.75496,0.83457,0.56736,0.50733,0.48943,0.36341,0.95569,2.10297,1.02645,0.00119938,0.00119938,0.00119938
4,45.9088,0.52116,0.70839,0.83284,0.72041,0.61589,0.70933,0.50601,1.0693,1.35828,1.04246,0.00118812,0.00118812,0.00118812
5,56.2025,0.51273,0.63042,0.83107,0.62653,0.78683,0.80278,0.65574,0.72861,1.4318,0.89242,0.0011675,0.0011675,0.0011675
6,66.9219,0.52171,0.62284,0.8385,0.74456,0.85133,0.88969,0.72301,0.79198,0.71545,0.93562,0.00114688,0.00114688,0.00114688
7,77.7173,0.516,0.59299,0.83466,0.87884,0.85002,0.94256,0.73276,0.84969,0.58365,0.94923,0.00112625,0.00112625,0.00112625
8,87.9653,0.49663,0.51898,0.82979,0.68837,0.78767,0.8199,0.68736,0.67674,1.109,0.89188,0.00110563,0.00110563,0.00110563
9,98.2116,0.48453,0.51721,0.82667,0.76096,0.8666,0.90704,0.72239,0.75536,0.65027,0.91413,0.001085,0.001085,0.001085
10,108.643,0.48992,0.52635,0.82905,0.68938,0.81405,0.75648,0.64766,0.62625,0.95721,0.86042,0.00106437,0.00106437,0.00106437
11,119.035,0.48807,0.49826,0.82699,0.8218,0.74104,0.87838,0.73557,0.66876,0.62706,0.8833,0.00104375,0.00104375,0.00104375
12,129.769,0.48058,0.48936,0.82353,0.86601,0.85001,0.93741,0.74717,0.80027,0.53648,0.93668,0.00102312,0.00102312,0.00102312
