epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.402,0.77963,3.40299,1.0857,0.51208,0.34993,0.25161,0.19124,0.91959,2.26718,1.29803,3.65889e-05,3.65889e-05,3.65889e-05
2,59.5256,0.62031,1.52181,0.96896,0.47031,0.4529,0.42101,0.32288,0.84161,1.54458,1.17897,5.90183e-05,5.90183e-05,5.90183e-05
3,84.3121,0.58698,1.12604,0.93823,0.65169,0.38116,0.42863,0.30936,1.05317,1.51781,1.33952,6.67957e-05,6.67957e-05,6.67957e-05
4,109.292,0.56172,0.96491,0.93018,0.61328,0.48837,0.47746,0.36427,0.90407,1.54983,1.23901,4.5066e-05,4.5066e-05,4.5066e-05
5,133.884,0.54705,0.85067,0.92246,0.83959,0.35174,0.50299,0.39416,0.84368,1.40582,1.16702,2.3088e-05,2.3088e-05,2.3088e-05
