epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.35,1.5436,3.93114,1.79668,0.36603,0.375,0.28766,0.08472,2.28553,6.89145,3.27924,0.000652778,0.000652778,0.000652778
2,45.175,1.83306,2.20227,2.06665,0.0491,0.05556,0.00366,0.00089,4.34743,9.21517,14.606,0.00131291,0.00131291,0.00131291
3,63.1544,1.84951,2.09732,2.03133,0.00023,0.06944,0.00012,2e-05,3.94526,inf,12.6651,0.00196645,0.00196645,0.00196645
4,80.7171,1.82587,2.03626,2.0403,0.00374,0.02778,0.00088,0.00025,4.19379,56.0414,4.83175,0.0019703,0.0019703,0.0019703
5,98.7704,1.84643,2.06009,2.05637,0.08665,0.20833,0.05866,0.01419,2.75275,13.253,3.4475,0.0019604,0.0019604,0.0019604
6,116.351,1.73371,1.9142,1.96173,0.24369,0.31944,0.17802,0.05491,2.73969,2.70269,3.02876,0.0019505,0.0019505,0.0019505
7,133.75,1.6923,1.87347,1.92141,0.56539,0.48611,0.55247,0.24268,1.8769,4.81988,2.21848,0.0019406,0.0019406,0.0019406
8,151.441,1.64136,1.77417,1.88663,0.68008,0.47222,0.52157,0.24775,2.08657,2.24285,2.54869,0.0019307,0.0019307,0.0019307
9,168.798,1.63245,1.75252,1.87118,0.64483,0.54167,0.56945,0.2428,2.05776,3.8977,2.37644,0.0019208,0.0019208,0.0019208
10,186.11,1.61655,1.72934,1.8859,0.41804,0.33333,0.30435,0.10037,2.36932,2.06579,2.57874,0.0019109,0.0019109,0.0019109
11,203.931,1.56038,1.63547,1.81957,0.71327,0.56944,0.63902,0.26635,2.1075,2.07888,2.44645,0.001901,0.001901,0.001901
12,222.2,1.62839,1.69114,1.88398,0.46511,0.52778,0.48428,0.19757,2.18285,1.98951,2.51803,0.0018911,0.0018911,0.0018911
13,239.996,1.57343,1.61885,1.846,0.48084,0.46314,0.46938,0.16009,2.66492,1.94114,3.12861,0.0018812,0.0018812,0.0018812
14,257.943,1.57955,1.58821,1.8102,0.74088,0.54167,0.63242,0.27558,2.0401,1.91096,2.27711,0.0018713,0.0018713,0.0018713
15,275.427,1.52337,1.52739,1.79327,0.53011,0.56944,0.52478,0.19438,2.3351,2.11077,2.7,0.0018614,0.0018614,0.0018614
16,292.977,1.53284,1.52952,1.78336,0.64395,0.65278,0.64965,0.24685,2.26002,1.86099,2.56079,0.0018515,0.0018515,0.0018515
17,310.673,1.479,1.45873,1.72722,0.77233,0.59722,0.7485,0.31898,2.00223,1.50334,2.23403,0.0018416,0.0018416,0.0018416
18,328.108,1.46799,1.41311,1.71935,0.69569,0.55556,0.63128,0.21823,2.47976,1.75464,2.81014,0.0018317,0.0018317,0.0018317
19,345.372,1.49805,1.41481,1.7341,0.65642,0.69444,0.74412,0.26588,2.26724,1.58796,2.57596,0.0018218,0.0018218,0.0018218
20,362.881,1.43042,1.42407,1.71304,0.74365,0.64471,0.73422,0.35995,1.80476,1.64243,2.13915,0.0018119,0.0018119,0.0018119
21,380.239,1.38962,1.35587,1.67991,0.74084,0.47651,0.58108,0.25367,2.22626,1.77327,2.4541,0.001802,0.001802,0.001802
22,397.714,1.42952,1.36918,1.68216,0.71034,0.63889,0.72429,0.36606,1.86354,1.40949,2.14777,0.0017921,0.0017921,0.0017921
23,415.329,1.46099,1.37255,1.73516,0.69358,0.65278,0.7254,0.28211,2.25624,1.75683,2.51461,0.0017822,0.0017822,0.0017822
24,432.588,1.42201,1.3928,1.69689,0.71988,0.60683,0.71457,0.32273,2.34331,1.43692,2.63434,0.0017723,0.0017723,0.0017723
25,450.253,1.41931,1.32757,1.69451,0.77894,0.70833,0.77761,0.33957,2.23111,1.44693,2.47947,0.0017624,0.0017624,0.0017624
26,468.032,1.38656,1.23244,1.65537,0.72732,0.75,0.80233,0.41589,1.78759,1.46662,2.15596,0.0017525,0.0017525,0.0017525
27,485.481,1.37546,1.25647,1.66355,0.65204,0.79167,0.76843,0.37287,1.96277,1.32209,2.22162,0.0017426,0.0017426,0.0017426
28,503.03,1.39253,1.27337,1.67821,0.61778,0.68056,0.715,0.27034,2.22513,1.4884,2.55457,0.0017327,0.0017327,0.0017327
29,520.72,1.39976,1.25398,1.69338,0.73403,0.77778,0.77848,0.40004,1.96206,1.2056,2.16834,0.0017228,0.0017228,0.0017228
30,538.067,1.37108,1.21057,1.65525,0.84847,0.77767,0.82956,0.40066,1.98512,1.14405,2.26474,0.0017129,0.0017129,0.0017129
31,555.619,1.35028,1.20712,1.63184,0.86314,0.78836,0.83206,0.36617,2.1195,1.28916,2.37718,0.001703,0.001703,0.001703
32,573.419,1.32725,1.1968,1.61802,0.76651,0.77778,0.78515,0.4105,1.92707,1.21377,2.1796,0.0016931,0.0016931,0.0016931
33,591.005,1.33615,1.16053,1.59999,0.72274,0.76035,0.81552,0.39488,1.83716,1.38089,2.08511,0.0016832,0.0016832,0.0016832
34,608.551,1.34847,1.22234,1.62082,0.59244,0.73611,0.69162,0.39663,1.93876,1.45936,2.25935,0.0016733,0.0016733,0.0016733
35,626.008,1.33328,1.21285,1.61724,0.8374,0.69444,0.82235,0.39465,1.9218,1.37729,2.1047,0.0016634,0.0016634,0.0016634
36,643.273,1.28768,1.11947,1.57267,0.77305,0.75701,0.8024,0.36954,2.16356,1.34254,2.42991,0.0016535,0.0016535,0.0016535
37,660.622,1.2983,1.14025,1.57441,0.76634,0.7744,0.76299,0.39332,1.9868,1.28609,2.15625,0.0016436,0.0016436,0.0016436
38,678.267,1.2738,1.12206,1.55332,0.71618,0.83333,0.80811,0.44623,1.85026,1.33809,2.08582,0.0016337,0.0016337,0.0016337
39,695.698,1.2415,1.04859,1.52965,0.68062,0.82877,0.76434,0.4114,1.74831,1.48741,2.15519,0.0016238,0.0016238,0.0016238
40,713.043,1.26052,1.05879,1.54594,0.70881,0.77778,0.78855,0.38806,1.93666,1.23904,2.30603,0.0016139,0.0016139,0.0016139
41,730.603,1.26928,1.0533,1.55083,0.71943,0.76389,0.76829,0.45848,1.95495,1.16919,2.27667,0.001604,0.001604,0.001604
