epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8699,1.42526,7.99581,1.81698,0.27395,0.02424,0.01768,0.01053,1.1777,3.18382,1.36575,3.564e-05,3.564e-05,3.564e-05
2,28.522,1.24903,3.86031,1.50074,0.58546,0.05014,0.07129,0.04446,1.56525,2.39941,1.50103,7.16417e-05,7.16417e-05,7.16417e-05
3,40.3708,1.1522,2.81873,1.41689,0.51527,0.16389,0.18824,0.12877,1.14981,1.73397,1.31675,0.000106668,0.000106668,0.000106668
4,52.4428,1.1106,2.27692,1.38724,0.54239,0.29344,0.32714,0.24052,1.21316,1.52837,1.42802,0.000126773,0.000126773,0.000126773
5,73.9341,1.03837,1.8259,1.32802,0.60464,0.39919,0.44421,0.32585,1.08679,1.3695,1.36259,0.00012503,0.00012503,0.00012503
6,96.79,1.00991,1.53121,1.31023,0.71922,0.45022,0.5499,0.40412,1.14386,1.21266,1.44668,0.000123288,0.000123288,0.000123288
7,110.947,0.95261,1.3105,1.25591,0.78129,0.50709,0.62493,0.47403,1.16783,1.06091,1.49968,0.000121546,0.000121546,0.000121546
8,122.991,0.92461,1.17863,1.25018,0.75242,0.58072,0.65945,0.50078,1.05892,1.07724,1.35509,0.000119803,0.000119803,0.000119803
9,134.685,0.88046,1.05706,1.20393,0.793,0.6363,0.7112,0.54613,0.99978,1.04532,1.24097,0.000118061,0.000118061,0.000118061
10,146.501,0.87028,0.99387,1.20896,0.75486,0.65036,0.72973,0.56505,1.0363,1.00512,1.24479,0.000116318,0.000116318,0.000116318
11,158.125,0.84153,0.92777,1.18009,0.84599,0.63697,0.76035,0.58965,1.01355,1.1902,1.26005,0.000114576,0.000114576,0.000114576
12,169.784,0.80295,0.84311,1.13822,0.82225,0.68013,0.77683,0.61442,1.037,0.99746,1.29136,0.000112834,0.000112834,0.000112834
13,181.397,0.81948,0.84262,1.15012,0.7932,0.73764,0.79237,0.63331,0.97273,0.9371,1.27584,0.000111091,0.000111091,0.000111091
14,193.074,0.78144,0.77516,1.11953,0.80099,0.76975,0.82093,0.63855,1.03119,0.96578,1.40751,0.000109349,0.000109349,0.000109349
15,204.763,0.76954,0.71872,1.12282,0.81679,0.74001,0.8285,0.65163,0.97559,0.79532,1.30478,0.000107606,0.000107606,0.000107606
16,216.452,0.7771,0.71824,1.13028,0.81928,0.75411,0.83295,0.66379,0.97781,0.87799,1.27324,0.000105864,0.000105864,0.000105864
17,228.121,0.77825,0.69457,1.12042,0.81517,0.7862,0.83345,0.66786,0.95293,0.85326,1.22674,0.000104122,0.000104122,0.000104122
18,240.034,0.75774,0.6743,1.10397,0.84701,0.77828,0.8419,0.68365,0.9004,0.76486,1.20272,0.000102379,0.000102379,0.000102379
19,251.664,0.7226,0.63388,1.09192,0.89075,0.78887,0.85698,0.69345,0.86829,0.70964,1.19593,0.000100637,0.000100637,0.000100637
20,263.297,0.72055,0.61531,1.0851,0.88732,0.80015,0.85883,0.7021,0.87421,0.82131,1.11506,9.88944e-05,9.88944e-05,9.88944e-05
21,274.959,0.69599,0.58872,1.07868,0.85376,0.80962,0.86989,0.7007,0.90689,0.93279,1.16497,9.7152e-05,9.7152e-05,9.7152e-05
22,286.582,0.6869,0.59713,1.05956,0.85935,0.82145,0.87355,0.71025,0.9463,0.77477,1.27213,9.54096e-05,9.54096e-05,9.54096e-05
23,298.209,0.66406,0.56237,1.04036,0.88225,0.79617,0.88129,0.71428,0.97272,0.71704,1.3618,9.36672e-05,9.36672e-05,9.36672e-05
24,309.863,0.66574,0.54985,1.05946,0.92989,0.77316,0.88448,0.72101,0.91428,0.79678,1.20675,9.19248e-05,9.19248e-05,9.19248e-05
25,321.471,0.67,0.54538,1.03701,0.90043,0.78788,0.88274,0.72684,0.84461,0.72373,1.14775,9.01824e-05,9.01824e-05,9.01824e-05
26,333.172,0.64134,0.52784,1.03158,0.86954,0.82664,0.89241,0.73597,0.89452,0.8842,1.27299,8.844e-05,8.844e-05,8.844e-05
27,344.831,0.63646,0.50696,1.03248,0.88516,0.84357,0.9061,0.74131,0.87628,0.7151,1.40536,8.66976e-05,8.66976e-05,8.66976e-05
28,356.664,0.63098,0.49412,1.03782,0.90631,0.82345,0.90841,0.74101,0.90019,0.70844,1.26431,8.49552e-05,8.49552e-05,8.49552e-05
29,368.696,0.61492,0.48725,1.02039,0.84597,0.8671,0.90662,0.75116,0.91081,0.66333,1.36831,8.32128e-05,8.32128e-05,8.32128e-05
30,380.71,0.60536,0.48009,1.00381,0.89514,0.8447,0.91209,0.74854,0.91383,0.6756,1.42177,8.14704e-05,8.14704e-05,8.14704e-05
31,392.713,0.6049,0.46915,1.0077,0.9135,0.83161,0.91538,0.75133,0.90412,0.6651,1.44932,7.9728e-05,7.9728e-05,7.9728e-05
32,404.68,0.5816,0.44855,0.99337,0.91861,0.83655,0.9154,0.76368,0.87485,0.74287,1.29937,7.79856e-05,7.79856e-05,7.79856e-05
33,416.656,0.58584,0.45038,0.99331,0.91241,0.83097,0.91858,0.76245,0.86005,0.63963,1.19762,7.62432e-05,7.62432e-05,7.62432e-05
34,428.659,0.57882,0.44698,0.99414,0.83789,0.89944,0.91919,0.759,0.80544,0.75641,1.1352,7.45008e-05,7.45008e-05,7.45008e-05
35,440.614,0.59425,0.4483,0.99631,0.89499,0.86602,0.92436,0.76664,0.8308,0.64448,1.16409,7.27584e-05,7.27584e-05,7.27584e-05
36,452.645,0.57638,0.4344,0.99747,0.92284,0.8372,0.92287,0.77306,0.8425,0.62239,1.17344,7.1016e-05,7.1016e-05,7.1016e-05
37,464.657,0.56718,0.41861,0.98669,0.86857,0.88038,0.92565,0.76721,0.85088,0.6757,1.26319,6.92736e-05,6.92736e-05,6.92736e-05
38,476.709,0.56742,0.42472,0.98947,0.91252,0.86597,0.93036,0.775,0.83369,0.70097,1.29964,6.75312e-05,6.75312e-05,6.75312e-05
39,488.727,0.55059,0.41059,0.96766,0.91862,0.86642,0.93332,0.78049,0.87643,0.82569,1.39811,6.57888e-05,6.57888e-05,6.57888e-05
40,500.868,0.53677,0.40101,0.97313,0.90948,0.86751,0.93475,0.7791,0.87023,0.72331,1.35863,6.40464e-05,6.40464e-05,6.40464e-05
41,512.686,0.53621,0.39882,0.97889,0.89249,0.87838,0.93425,0.78298,0.86989,0.71377,1.29846,6.2304e-05,6.2304e-05,6.2304e-05
42,524.495,0.55272,0.41316,0.97433,0.91115,0.88148,0.93706,0.79888,0.90472,0.782,1.44025,6.05616e-05,6.05616e-05,6.05616e-05
43,536.137,0.54473,0.39527,0.97898,0.89448,0.89655,0.94042,0.79536,1.00513,0.88407,1.57117,5.88192e-05,5.88192e-05,5.88192e-05
44,547.666,0.52623,0.37862,0.95146,0.90314,0.89436,0.94338,0.80184,1.0092,0.85653,1.66377,5.70768e-05,5.70768e-05,5.70768e-05
45,559.488,0.5286,0.3908,0.96157,0.90831,0.89171,0.94247,0.80263,1.06454,0.75275,1.85819,5.53344e-05,5.53344e-05,5.53344e-05
46,571.18,0.52528,0.38442,0.96328,0.92154,0.87775,0.94147,0.80528,1.02379,0.68642,1.78617,5.3592e-05,5.3592e-05,5.3592e-05
47,582.804,0.51056,0.37162,0.95854,0.92475,0.88549,0.94236,0.80147,0.98415,0.74335,1.74839,5.18496e-05,5.18496e-05,5.18496e-05
48,594.53,0.50765,0.3685,0.95994,0.92041,0.8941,0.94505,0.81016,1.02283,0.8564,1.97718,5.01072e-05,5.01072e-05,5.01072e-05
49,606.219,0.50436,0.36201,0.95849,0.93269,0.90012,0.94895,0.80994,0.8588,0.82731,1.41917,4.83648e-05,4.83648e-05,4.83648e-05
