epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6002,1.20212,4.55329,1.52869,0.68128,0.22139,0.24509,0.18703,1.11252,3.82697,1.56525,0.00023,0.00023,0.00023
2,35.6503,1.10702,2.35016,1.40391,0.4637,0.26596,0.13149,0.06785,1.68636,4.43984,2.68571,0.000465347,0.000465347,0.000465347
3,51.7886,1.14697,1.79744,1.38644,0.4374,0.19342,0.13094,0.06785,2.04458,4.30448,2.3276,0.000695942,0.000695942,0.000695942
4,68.8637,1.17982,1.71015,1.42293,0.69584,0.09048,0.02812,0.01266,2.43775,14.1548,3.28327,0.000921785,0.000921785,0.000921785
5,86.5723,1.23509,1.7598,1.49082,0.46706,0.08989,0.04934,0.03222,2.64116,4.31861,3.2659,0.0009604,0.0009604,0.0009604
6,98.5613,1.19735,1.63501,1.42012,0.54765,0.09334,0.10071,0.0639,2.28465,5.01666,2.72016,0.0009505,0.0009505,0.0009505
7,115.866,1.19166,1.55826,1.43099,0.60844,0.1277,0.13546,0.05223,2.24639,5.8635,3.67268,0.0009406,0.0009406,0.0009406
8,127.994,1.17749,1.56342,1.42205,0.72373,0.12735,0.20906,0.11915,1.77818,3.89787,2.36881,0.0009307,0.0009307,0.0009307
9,145.262,1.12688,1.46908,1.37834,0.81989,0.19078,0.2842,0.17706,1.57452,3.54966,2.02112,0.0009208,0.0009208,0.0009208
10,160.879,1.08859,1.36293,1.34975,0.78796,0.28883,0.34139,0.22034,1.61856,2.81092,1.9933,0.0009109,0.0009109,0.0009109
11,178.301,1.05763,1.29714,1.32192,0.63165,0.19457,0.26187,0.16922,1.92259,3.36102,2.32408,0.000901,0.000901,0.000901
12,190.352,1.05731,1.25878,1.32672,0.73198,0.22423,0.28418,0.183,1.52848,2.65236,1.9268,0.0008911,0.0008911,0.0008911
13,207.722,1.02259,1.1637,1.30335,0.66193,0.24965,0.23886,0.17595,1.70949,3.58022,2.04368,0.0008812,0.0008812,0.0008812
14,219.617,1.01943,1.13282,1.30048,0.76917,0.33525,0.33744,0.21438,1.65406,2.8341,1.9825,0.0008713,0.0008713,0.0008713
15,233.955,0.97989,1.08116,1.27232,0.35202,0.43272,0.36423,0.27678,1.27709,2.06644,1.71897,0.0008614,0.0008614,0.0008614
16,246.048,0.97777,1.08673,1.26973,0.66566,0.32128,0.41255,0.30884,1.55724,2.10256,2.03851,0.0008515,0.0008515,0.0008515
17,261.614,0.92767,0.95806,1.23629,0.73067,0.28266,0.31575,0.22534,1.33755,3.9688,1.63426,0.0008416,0.0008416,0.0008416
18,692.808,0.94795,0.98479,1.23314,0.68485,0.41018,0.52945,0.38601,1.57412,2.96976,1.93455,0.0008317,0.0008317,0.0008317
19,705.587,0.90088,0.92924,1.21347,0.58105,0.35785,0.33255,0.21157,1.80628,2.13795,2.18043,0.0008218,0.0008218,0.0008218
20,717.76,0.91765,0.94631,1.21857,0.4874,0.58036,0.56328,0.42311,1.66351,2.20358,2.03902,0.0008119,0.0008119,0.0008119
21,732.464,0.88831,0.91227,1.20812,0.72043,0.34647,0.36994,0.27734,1.40439,2.00416,1.7675,0.000802,0.000802,0.000802
22,752.042,0.87517,0.87923,1.19725,0.75101,0.31346,0.35332,0.25413,1.36265,2.04824,1.65113,0.0007921,0.0007921,0.0007921
23,766.594,0.86988,0.84642,1.19714,0.48278,0.55223,0.55156,0.40987,1.2178,2.22397,1.57526,0.0007822,0.0007822,0.0007822
24,778.666,0.87238,0.7905,1.1709,0.72242,0.396,0.46161,0.33781,1.49164,2.70306,1.82454,0.0007723,0.0007723,0.0007723
25,793.375,0.84814,0.82002,1.17219,0.51131,0.60948,0.44463,0.33775,1.41908,1.99847,1.85083,0.0007624,0.0007624,0.0007624
26,811.492,0.82347,0.76747,1.15334,0.60053,0.54125,0.4888,0.36193,1.39016,2.6327,1.77568,0.0007525,0.0007525,0.0007525
27,826.266,0.82422,0.80063,1.15866,0.79715,0.525,0.60678,0.44542,1.64149,1.94543,2.00706,0.0007426,0.0007426,0.0007426
28,838.407,0.8298,0.76734,1.15974,0.84808,0.47953,0.6094,0.42231,1.37017,2.2491,1.75204,0.0007327,0.0007327,0.0007327
29,852.958,0.80763,0.72526,1.15805,0.77192,0.29806,0.32763,0.23117,1.55496,2.94383,1.9176,0.0007228,0.0007228,0.0007228
30,865.022,0.80382,0.7222,1.13416,0.62521,0.54356,0.53208,0.37274,1.29756,2.07791,1.66085,0.0007129,0.0007129,0.0007129
31,882.585,0.75902,0.68776,1.11648,0.74178,0.46171,0.54078,0.37577,1.51474,2.39952,2.01192,0.000703,0.000703,0.000703
32,894.555,0.78226,0.73146,1.12543,0.72553,0.49984,0.44702,0.29087,1.37435,2.24967,1.8233,0.0006931,0.0006931,0.0006931
33,909.178,0.7721,0.67982,1.13588,0.75867,0.40886,0.49371,0.37794,1.45977,2.24292,2.19716,0.0006832,0.0006832,0.0006832
34,921.35,0.79571,0.71248,1.12841,0.45627,0.54268,0.45236,0.31835,1.40182,2.74453,1.70039,0.0006733,0.0006733,0.0006733
35,938.041,0.78506,0.7039,1.14565,0.77412,0.48497,0.56439,0.3964,1.23619,2.41921,1.77272,0.0006634,0.0006634,0.0006634
36,950.375,0.77907,0.66351,1.13859,0.73266,0.3193,0.53851,0.39271,1.60405,3.44477,2.10615,0.0006535,0.0006535,0.0006535
37,967.833,0.74154,0.63761,1.10527,0.69628,0.5677,0.5947,0.45559,1.45861,2.50614,1.87463,0.0006436,0.0006436,0.0006436
38,979.882,0.75431,0.67126,1.11584,0.84919,0.28364,0.4523,0.35724,1.46061,2.95425,1.84916,0.0006337,0.0006337,0.0006337
39,997.441,0.74858,0.64723,1.12795,0.86444,0.28417,0.42647,0.32738,1.3831,2.98245,1.80176,0.0006238,0.0006238,0.0006238
40,1010.33,0.70042,0.60254,1.07828,0.75885,0.40161,0.46689,0.32681,1.37979,2.52644,1.64056,0.0006139,0.0006139,0.0006139
41,1029.48,0.72085,0.62669,1.09136,0.80285,0.47024,0.5759,0.43058,1.45888,2.37091,1.87049,0.000604,0.000604,0.000604
42,1042.18,0.70419,0.58222,1.09574,0.46271,0.82159,0.7616,0.55514,1.33385,2.66121,1.72221,0.0005941,0.0005941,0.0005941
43,1061.5,0.70369,0.62012,1.09277,0.67749,0.59719,0.50309,0.32268,1.5007,2.16522,1.91433,0.0005842,0.0005842,0.0005842
44,1074.21,0.71311,0.5694,1.08857,0.78946,0.44006,0.58629,0.41185,1.28181,2.24342,1.69084,0.0005743,0.0005743,0.0005743
45,1093.26,0.69123,0.57827,1.08458,0.83024,0.56256,0.69475,0.50524,1.6376,2.49269,2.30895,0.0005644,0.0005644,0.0005644
46,1105.96,0.66749,0.54221,1.06958,0.74123,0.62571,0.62437,0.40916,1.31831,2.12818,1.97554,0.0005545,0.0005545,0.0005545
47,1125.17,0.69244,0.57174,1.0796,0.81377,0.53984,0.59224,0.46263,1.32773,2.31898,1.81621,0.0005446,0.0005446,0.0005446
48,1137.74,0.65992,0.5496,1.06231,0.47277,0.62452,0.61239,0.45723,1.5306,2.23904,1.91114,0.0005347,0.0005347,0.0005347
49,1156.71,0.67895,0.55893,1.06553,0.66235,0.66652,0.60302,0.4543,1.46603,2.13119,1.8837,0.0005248,0.0005248,0.0005248
50,1169.42,0.66035,0.55292,1.05985,0.67644,0.63563,0.60598,0.44025,1.42753,2.11231,2.06574,0.0005149,0.0005149,0.0005149
51,1187.74,0.64126,0.52882,1.05073,0.74754,0.65007,0.76083,0.60027,1.48275,2.65286,1.85064,0.000505,0.000505,0.000505
52,1199.87,0.65633,0.52015,1.06109,0.73063,0.56037,0.61724,0.43657,1.35344,2.72386,1.80659,0.0004951,0.0004951,0.0004951
53,1217.32,0.64828,0.50831,1.04543,0.5974,0.37888,0.45081,0.33739,1.43069,2.60617,2.11442,0.0004852,0.0004852,0.0004852
54,1229.28,0.62836,0.50492,1.04323,0.7422,0.56344,0.58956,0.45419,1.36087,2.68685,1.9028,0.0004753,0.0004753,0.0004753
55,1246.81,0.63242,0.50641,1.0517,0.77345,0.45395,0.59552,0.42958,1.58693,2.31012,2.22063,0.0004654,0.0004654,0.0004654
56,1258.83,0.61219,0.50252,1.03683,0.7726,0.53414,0.60393,0.45908,1.36691,1.76351,1.90807,0.0004555,0.0004555,0.0004555
57,1276.21,0.61701,0.50111,1.04466,0.69305,0.49865,0.55344,0.44422,1.28141,2.18208,1.72892,0.0004456,0.0004456,0.0004456
58,1288.37,0.59634,0.48949,1.02645,0.7924,0.51407,0.57325,0.44873,1.45243,1.89849,1.93603,0.0004357,0.0004357,0.0004357
59,1304.97,0.6133,0.47128,1.03521,0.82748,0.35505,0.58317,0.46654,1.39984,2.50563,1.87034,0.0004258,0.0004258,0.0004258
60,1324.26,0.6334,0.49045,1.04711,0.60231,0.74074,0.74951,0.59691,1.39812,2.79056,1.88325,0.0004159,0.0004159,0.0004159
61,1341.45,0.59387,0.46667,1.0165,0.60726,0.6222,0.74207,0.58359,1.31561,2.96029,1.82277,0.000406,0.000406,0.000406
62,1353.4,0.60624,0.47283,1.03867,0.82922,0.53,0.61222,0.47707,1.3169,2.28939,1.86755,0.0003961,0.0003961,0.0003961
63,1370.68,0.57914,0.44248,1.01295,0.59719,0.64271,0.7842,0.64711,1.30108,2.62105,1.84047,0.0003862,0.0003862,0.0003862
64,1382.79,0.57493,0.44167,1.02287,0.83298,0.50056,0.67033,0.53903,1.34295,2.80916,1.78926,0.0003763,0.0003763,0.0003763
65,1400.19,0.57411,0.4435,1.00517,0.69841,0.57148,0.75054,0.57188,1.56204,2.52661,2.01807,0.0003664,0.0003664,0.0003664
66,1412.16,0.59609,0.4376,1.03655,0.78321,0.47787,0.64829,0.50311,1.25312,2.8856,1.71665,0.0003565,0.0003565,0.0003565
67,1429.35,0.56951,0.42975,1.00771,0.55623,0.77978,0.75406,0.60945,1.2707,3.01911,1.77363,0.0003466,0.0003466,0.0003466
68,1441.35,0.59135,0.44514,1.0206,0.72447,0.71552,0.7636,0.59789,1.31646,2.71722,1.9264,0.0003367,0.0003367,0.0003367
69,1458.84,0.57757,0.44142,1.01544,0.77423,0.72443,0.79273,0.60692,1.39282,2.36254,1.94339,0.0003268,0.0003268,0.0003268
70,1471.07,0.53651,0.42211,0.99627,0.80501,0.56085,0.69184,0.58265,1.20606,2.7583,1.70205,0.0003169,0.0003169,0.0003169
71,1488.82,0.5453,0.40684,1.0017,0.83473,0.48903,0.75572,0.63114,1.24184,2.94592,1.75678,0.000307,0.000307,0.000307
72,1500.97,0.56181,0.41486,1.00564,0.55118,0.72941,0.7331,0.59544,1.46736,3.30224,1.93261,0.0002971,0.0002971,0.0002971
73,1518.88,0.54702,0.41467,1.00555,0.8307,0.45957,0.59265,0.4663,1.44858,2.34703,2.00657,0.0002872,0.0002872,0.0002872
74,1531.65,0.52408,0.3988,0.99571,0.80695,0.51027,0.67461,0.53094,1.37891,2.52602,1.88696,0.0002773,0.0002773,0.0002773
75,1550.85,0.54336,0.39082,0.99756,0.80569,0.49709,0.65313,0.53613,1.28307,2.90591,1.84771,0.0002674,0.0002674,0.0002674
76,1563.77,0.52488,0.37475,0.98919,0.76512,0.5472,0.67858,0.53923,1.36245,3.0422,1.9076,0.0002575,0.0002575,0.0002575
77,1582.9,0.5051,0.35977,0.97719,0.86722,0.51109,0.78079,0.59935,1.33345,2.57689,1.95908,0.0002476,0.0002476,0.0002476
78,1595.65,0.53647,0.39196,0.9984,0.75955,0.56933,0.77208,0.59357,1.3006,2.54095,1.79501,0.0002377,0.0002377,0.0002377
79,1614.41,0.50385,0.35791,0.97705,0.83231,0.51112,0.77289,0.58242,1.20211,2.59975,1.70044,0.0002278,0.0002278,0.0002278
80,1627.29,0.51154,0.37331,0.98118,0.81698,0.46901,0.74029,0.53774,1.28623,2.8279,1.67224,0.0002179,0.0002179,0.0002179
81,1646.25,0.50683,0.35386,0.99042,0.74224,0.50107,0.57347,0.42976,1.42402,2.6212,1.93523,0.000208,0.000208,0.000208
82,1659.3,0.48906,0.34715,0.97692,0.57877,0.77654,0.78354,0.60047,1.43571,2.55304,2.13416,0.0001981,0.0001981,0.0001981
83,1678.66,0.49182,0.34512,0.96749,0.78105,0.56552,0.62236,0.47985,1.39701,2.70334,2.04662,0.0001882,0.0001882,0.0001882
84,1691.69,0.48419,0.35873,0.96524,0.81755,0.5616,0.62452,0.48053,1.38574,2.70604,2.10399,0.0001783,0.0001783,0.0001783
85,1711.26,0.48064,0.34412,0.96794,0.80953,0.50156,0.68804,0.55323,1.46806,2.6907,2.22438,0.0001684,0.0001684,0.0001684
86,1724.3,0.46307,0.33067,0.96884,0.83221,0.49183,0.61911,0.48624,1.3079,2.40934,1.84228,0.0001585,0.0001585,0.0001585
87,1743.75,0.47286,0.3307,0.96914,0.78168,0.54393,0.67594,0.50917,1.32916,2.65946,1.85533,0.0001486,0.0001486,0.0001486
88,1765.24,0.47801,0.33253,0.97432,0.60035,0.78972,0.79144,0.59733,1.26527,2.77966,1.83737,0.0001387,0.0001387,0.0001387
89,1784.45,0.46148,0.32554,0.96182,0.63823,0.74815,0.77671,0.59652,1.43909,2.55296,2.25083,0.0001288,0.0001288,0.0001288
90,1797.17,0.45713,0.33099,0.95708,0.79644,0.53984,0.76912,0.59093,1.46459,2.45016,2.29267,0.0001189,0.0001189,0.0001189
