epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.78,0.79841,3.6341,1.08829,0.46623,0.32893,0.21785,0.16744,0.83385,2.43358,1.23852,3.65889e-05,3.65889e-05,3.65889e-05
2,43.2361,0.64792,1.73627,0.97762,0.46089,0.3692,0.34835,0.25537,0.93195,1.76308,1.26622,7.31032e-05,7.31032e-05,7.31032e-05
3,61.1873,0.62831,1.28442,0.95736,0.7132,0.41311,0.45673,0.32873,0.99335,1.38191,1.30511,0.000109129,0.000109129,0.000109129
4,78.7381,0.60233,1.08161,0.94916,0.73076,0.35368,0.46166,0.34337,0.87525,1.45143,1.24051,0.000108802,0.000108802,0.000108802
5,96.6804,0.59024,0.94058,0.94334,0.8273,0.41784,0.51474,0.39824,0.89258,1.26667,1.22792,0.00010807,0.00010807,0.00010807
6,114.514,0.59203,0.86716,0.94445,0.73167,0.49221,0.51001,0.38398,0.91465,1.52344,1.27575,0.000107337,0.000107337,0.000107337
7,132.39,0.57769,0.7964,0.94067,0.78766,0.39074,0.62387,0.47048,0.93261,1.40264,1.24791,0.000106604,0.000106604,0.000106604
8,150.434,0.56908,0.73925,0.93223,0.35604,0.74335,0.70538,0.53358,0.92648,1.37862,1.2941,0.000105872,0.000105872,0.000105872
9,168.241,0.55614,0.69017,0.9201,0.50048,0.68264,0.69715,0.55354,0.85532,1.46286,1.21912,0.000105139,0.000105139,0.000105139
10,185.792,0.54686,0.66429,0.91666,0.41242,0.68581,0.63234,0.47706,0.90477,1.42706,1.33903,0.000104407,0.000104407,0.000104407
11,203.258,0.54361,0.63179,0.91862,0.55069,0.67922,0.77496,0.61881,0.89879,1.37775,1.28764,0.000103674,0.000103674,0.000103674
12,221.116,0.54591,0.59763,0.92322,0.7996,0.55049,0.64729,0.48485,1.063,1.51201,1.40612,0.000102941,0.000102941,0.000102941
13,239.594,0.53268,0.58795,0.91738,0.80968,0.56176,0.6558,0.50006,0.993,1.58399,1.36977,0.000102209,0.000102209,0.000102209
14,257.184,0.53452,0.57026,0.9185,0.43565,0.71735,0.67357,0.49246,1.14706,1.56021,1.49038,0.000101476,0.000101476,0.000101476
15,274.887,0.53053,0.55899,0.91186,0.42585,0.79299,0.65843,0.51929,1.06057,1.42699,1.41385,0.000100744,0.000100744,0.000100744
16,292.405,0.52127,0.55081,0.91056,0.42225,0.68733,0.68719,0.53683,0.9678,1.47283,1.39332,0.000100011,0.000100011,0.000100011
17,309.867,0.51731,0.52905,0.90546,0.62036,0.66455,0.68127,0.51347,1.03283,1.4543,1.41814,9.92784e-05,9.92784e-05,9.92784e-05
18,327.93,0.51839,0.52832,0.90815,0.58959,0.70135,0.70536,0.55593,1.01089,1.32971,1.40169,9.85458e-05,9.85458e-05,9.85458e-05
19,345.403,0.50969,0.51249,0.90756,0.48976,0.72119,0.68053,0.52765,1.03007,1.43903,1.40999,9.78132e-05,9.78132e-05,9.78132e-05
20,363.358,0.51874,0.51068,0.90086,0.61107,0.64672,0.59986,0.46058,0.9974,1.41872,1.41125,9.70806e-05,9.70806e-05,9.70806e-05
21,381.121,0.51855,0.50097,0.911,0.50472,0.63871,0.64919,0.48783,1.02763,1.52202,1.40074,9.6348e-05,9.6348e-05,9.6348e-05
22,398.698,0.51039,0.47734,0.90252,0.81203,0.43865,0.63617,0.50812,0.96743,1.586,1.35621,9.56154e-05,9.56154e-05,9.56154e-05
