epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2225,0.73546,1.89683,1.03812,0.50298,0.38781,0.40073,0.29382,0.98453,1.90167,1.3903,0.000299633,0.000299633,0.000299633
2,44.6624,0.67433,1.05838,0.98767,0.65178,0.45072,0.4399,0.29582,1.11236,1.97376,1.57362,0.000596667,0.000596667,0.000596667
3,63.0584,0.68847,0.93848,0.99264,0.54699,0.45217,0.46156,0.31561,1.16208,1.53228,1.57577,0.000887702,0.000887702,0.000887702
4,81.0738,0.67399,0.83867,0.9844,0.65407,0.45689,0.47006,0.2762,1.52812,1.78325,2.13894,0.000882003,0.000882003,0.000882003
5,99.0357,0.64929,0.73716,0.97268,0.69316,0.51829,0.50017,0.33012,1.20747,1.79734,1.69279,0.000873004,0.000873004,0.000873004
6,117.086,0.65267,0.73362,0.97202,0.79767,0.45727,0.49313,0.32607,1.37586,1.73801,1.87105,0.000864004,0.000864004,0.000864004
7,135.102,0.63619,0.70525,0.97065,0.74179,0.48109,0.54265,0.38876,1.25846,1.49702,1.71837,0.000855005,0.000855005,0.000855005
8,152.864,0.63304,0.67369,0.95944,0.79584,0.45473,0.53334,0.36957,1.17704,1.53441,1.57615,0.000846006,0.000846006,0.000846006
9,170.797,0.61069,0.63137,0.94478,0.45627,0.74528,0.66386,0.48182,1.10934,1.39075,1.54801,0.000837007,0.000837007,0.000837007
10,188.605,0.59326,0.60459,0.94465,0.60953,0.48473,0.6622,0.48846,1.05303,1.42446,1.45035,0.000828008,0.000828008,0.000828008
11,206.515,0.58889,0.58273,0.94267,0.54343,0.68888,0.63798,0.41945,1.35799,1.28576,1.78802,0.000819009,0.000819009,0.000819009
12,224.444,0.5887,0.56707,0.94702,0.50702,0.77429,0.71911,0.49484,1.30836,1.57053,1.73249,0.00081001,0.00081001,0.00081001
13,242.565,0.5756,0.55408,0.93778,0.70071,0.64447,0.70282,0.52326,1.06172,1.6535,1.42669,0.000801011,0.000801011,0.000801011
14,260.635,0.57557,0.53217,0.93581,0.81976,0.45933,0.70767,0.53523,1.14973,1.32865,1.64249,0.000792012,0.000792012,0.000792012
15,278.744,0.55817,0.52289,0.92453,0.87984,0.46276,0.58896,0.39676,1.31499,1.38619,1.65894,0.000783013,0.000783013,0.000783013
16,296.715,0.55329,0.52223,0.92455,0.87063,0.49657,0.679,0.48462,1.2384,1.24828,1.69187,0.000774013,0.000774013,0.000774013
17,314.788,0.54585,0.48642,0.91949,0.83414,0.48296,0.6202,0.47745,1.20698,1.42769,1.7376,0.000765014,0.000765014,0.000765014
18,332.831,0.55117,0.49323,0.92566,0.42432,0.68281,0.61403,0.44395,1.19152,1.73793,1.6779,0.000756015,0.000756015,0.000756015
19,350.825,0.5387,0.4986,0.9205,0.62269,0.59316,0.71329,0.5354,1.08703,1.3932,1.56253,0.000747016,0.000747016,0.000747016
20,368.852,0.53938,0.4813,0.91154,0.66716,0.51321,0.64624,0.46291,1.17492,1.32225,1.58495,0.000738017,0.000738017,0.000738017
21,386.673,0.53786,0.47085,0.923,0.70263,0.6048,0.69874,0.51679,1.12723,1.34946,1.56804,0.000729018,0.000729018,0.000729018
22,404.703,0.52898,0.45288,0.91142,0.90586,0.57828,0.74844,0.56485,1.00987,0.93416,1.4173,0.000720019,0.000720019,0.000720019
23,422.837,0.51677,0.44147,0.91069,0.69858,0.65779,0.73835,0.51766,1.19661,1.30754,1.56038,0.00071102,0.00071102,0.00071102
24,441.496,0.51234,0.44008,0.90529,0.84297,0.71923,0.83928,0.61748,1.1269,1.35763,1.6051,0.000702021,0.000702021,0.000702021
25,459.742,0.50412,0.42552,0.90033,0.57932,0.81838,0.76647,0.58074,1.08889,1.37831,1.5597,0.000693022,0.000693022,0.000693022
26,478.153,0.5046,0.43059,0.90582,0.51685,0.80013,0.75251,0.5602,1.06196,1.43058,1.50182,0.000684022,0.000684022,0.000684022
27,498.562,0.50707,0.42032,0.90536,0.73895,0.59831,0.6764,0.50929,1.40953,1.35852,1.84621,0.000675023,0.000675023,0.000675023
28,516.184,0.49947,0.4235,0.89995,0.80145,0.57356,0.68222,0.50536,1.27341,1.14533,1.7915,0.000666024,0.000666024,0.000666024
29,533.905,0.49812,0.40993,0.89978,0.8045,0.66198,0.69971,0.51063,1.2426,1.07753,1.69121,0.000657025,0.000657025,0.000657025
30,551.543,0.50147,0.40632,0.90199,0.82165,0.61476,0.70543,0.55028,1.17923,1.15979,1.65429,0.000648026,0.000648026,0.000648026
31,569.233,0.49611,0.39977,0.89422,0.46535,0.71439,0.70321,0.51138,1.33524,1.17072,1.72385,0.000639027,0.000639027,0.000639027
32,586.881,0.48592,0.39932,0.89544,0.83834,0.60911,0.71359,0.54918,1.17211,1.12845,1.7015,0.000630028,0.000630028,0.000630028
33,604.661,0.47675,0.37211,0.89067,0.87318,0.58675,0.69878,0.54617,1.25415,1.28053,1.76063,0.000621029,0.000621029,0.000621029
34,622.47,0.47922,0.38487,0.89093,0.82899,0.54799,0.67217,0.50352,1.11828,1.77753,1.56682,0.00061203,0.00061203,0.00061203
35,640.259,0.47603,0.38229,0.89207,0.77937,0.65279,0.71501,0.5493,1.09333,1.14922,1.51242,0.000603031,0.000603031,0.000603031
36,657.803,0.47698,0.38771,0.89499,0.80418,0.59965,0.7336,0.57611,1.27059,1.26969,1.76789,0.000594031,0.000594031,0.000594031
37,675.56,0.48416,0.37509,0.89514,0.75291,0.62872,0.69799,0.55739,1.18872,1.25637,1.57891,0.000585032,0.000585032,0.000585032
38,693.3,0.46801,0.36704,0.88477,0.7386,0.67661,0.73146,0.5691,1.20418,1.31975,1.61536,0.000576033,0.000576033,0.000576033
39,711.058,0.47226,0.37259,0.89393,0.77267,0.63698,0.70986,0.5636,1.17692,1.23198,1.57094,0.000567034,0.000567034,0.000567034
40,728.883,0.47125,0.36097,0.89379,0.79152,0.6285,0.73867,0.56114,1.18168,1.1579,1.61459,0.000558035,0.000558035,0.000558035
