epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9508,1.27014,4.16645,1.37825,0.48677,0.22434,0.24619,0.17526,1.31361,1.93331,1.41475,3.90544e-05,3.90544e-05,3.90544e-05
2,110.276,1.18497,1.81959,1.29212,0.65088,0.34829,0.4053,0.27734,1.31369,1.43067,1.43959,7.76117e-05,7.76117e-05,7.76117e-05
3,159.889,1.1239,1.35708,1.23327,0.671,0.35833,0.43102,0.30393,1.32904,1.35762,1.51664,0.00011539,0.00011539,0.00011539
4,209.732,1.08863,1.14977,1.20769,0.49389,0.44637,0.46314,0.31492,1.32514,1.52244,1.48562,0.000114495,0.000114495,0.000114495
5,258.843,1.05177,1.00136,1.17556,0.60434,0.4327,0.47706,0.32991,1.27997,1.35348,1.50828,0.000113327,0.000113327,0.000113327
6,307.858,1.0162,0.91064,1.15414,0.6411,0.37479,0.46595,0.31659,1.40439,1.43504,1.59716,0.000112159,0.000112159,0.000112159
7,356.819,0.98928,0.85046,1.14101,0.56495,0.44242,0.47796,0.32464,1.26308,1.49646,1.43961,0.000110991,0.000110991,0.000110991
8,406.018,0.96055,0.79882,1.12046,0.55215,0.43293,0.46336,0.31393,1.33683,1.3202,1.51213,0.000109823,0.000109823,0.000109823
9,455.073,0.93799,0.75496,1.10229,0.60356,0.40951,0.46191,0.31274,1.41629,1.45953,1.61715,0.000108654,0.000108654,0.000108654
10,504.282,0.91758,0.72522,1.0879,0.59687,0.40056,0.44128,0.30319,1.24217,1.35742,1.42433,0.000107486,0.000107486,0.000107486
11,553.272,0.89481,0.69551,1.07472,0.64304,0.392,0.43433,0.29739,1.29186,1.4878,1.43975,0.000106318,0.000106318,0.000106318
12,602.413,0.88616,0.68012,1.07427,0.59274,0.39186,0.4275,0.27631,1.19824,1.59584,1.36894,0.00010515,0.00010515,0.00010515
13,651.626,0.87379,0.65139,1.06433,0.6073,0.3841,0.44386,0.29662,1.28875,1.50928,1.50181,0.000103982,0.000103982,0.000103982
14,701.037,0.86512,0.64099,1.05519,0.64326,0.37033,0.43571,0.297,1.20319,1.34614,1.37719,0.000102813,0.000102813,0.000102813
15,750.312,0.85105,0.62568,1.04946,0.59142,0.39801,0.43642,0.29419,1.28567,1.44401,1.47984,0.000101645,0.000101645,0.000101645
16,799.725,0.83672,0.60518,1.04085,0.64075,0.35639,0.43874,0.29458,1.33293,1.70514,1.4893,0.000100477,0.000100477,0.000100477
17,848.906,0.82569,0.59199,1.03267,0.60167,0.40718,0.4296,0.29016,1.45459,1.45842,1.76109,9.93088e-05,9.93088e-05,9.93088e-05
18,898.262,0.81348,0.57662,1.0284,0.59169,0.38315,0.43194,0.29314,1.25588,1.56475,1.42939,9.81406e-05,9.81406e-05,9.81406e-05
19,947.469,0.81121,0.5719,1.02436,0.52372,0.40942,0.43282,0.29255,1.40872,1.45362,1.68627,9.69724e-05,9.69724e-05,9.69724e-05
20,996.776,0.80161,0.56275,1.0178,0.53582,0.40965,0.4423,0.29242,1.43071,1.43628,1.68744,9.58042e-05,9.58042e-05,9.58042e-05
21,1045.85,0.78816,0.55151,1.01016,0.52977,0.42294,0.44642,0.29749,1.34582,1.40339,1.5593,9.4636e-05,9.4636e-05,9.4636e-05
22,1095.13,0.78615,0.54065,1.01176,0.61868,0.37111,0.42241,0.28483,1.31516,1.42676,1.58345,9.34678e-05,9.34678e-05,9.34678e-05
